VANID	AGE	PCT_C	PCT_P	PCT_J	PCT_M	FN_HISP	LN_HISP	FL_HISP	BG_SEG	PCT_SD2	PCT_LD2	REG_DAYS	CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9	CD10	VF1	VF2	VF3	VF4	VF5	VF6	VF7	VF8	VF9	VF10	VF11	VF12	VF13	VF14	VF15	VF16	VF17	VF18	VF19	VF20	VF21	VF22	VF23	VF24	VF25	VF26	VF27	VF28	VF29	VF30	VF31	VF32	VF33	VF34	VF35	VF36	VF37	VF38	VF39	VF40	VF41	VF42	VF43	VF44	VF45	VF46	VF47	VF48	VF49	VF50	GPELIG	PPELIG	MPELIG	EPELIG	C04	C06	PP08D	PP08R	set_no	set_no2	dv	pv	gd_Aw	gd_2w	sd_Aw	sd_2w	pad	pmd	pff	rbe	rbw	hrbe	hrbm	hrbl	lpsd2	lpld2	v08	sd2_sc1	sd2_Sc2	sd2_sc3	v08_Score
1	39	0	0	0	0	4.2	0	4.2	0	66.8	52.1	4573	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	62.5	25	40	42.9	0	0	0	0	1	85	N	Y	N	N	N	N	 	N	N	N	N	 	 	 	 	 	Y	76.9	68.9	72.9	55
1	41	0	0	0	0	2.2	.3	1.3	10.1	78.6	56.7	3666	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	14.3	16.7	0	11.8	0	0	0	0	1	85	N	Y	Y	Y	N	 	 	 	Y	N	N	 	 	 	 	 	Y	93.3	90	91.7	72
9	69	0	0	0	0	97.1	0	97.1	0	40.7	37.6	2586	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	60	40	50	50	0	0	0	1	2	94	N	Y	N	 	N	N	 	N	N	N	N	 	 	 	 	N	Y	61.7	52.7	57.2	95
1	48	0	0	0	0	1.7	0	1.7	20.5	55.7	44.6	8826	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	75	12.5	40	42.9	0	0	0	0	1	49	N	Y	N	N	Y	Y	 	 	Y	N	N	 	 	 	 	 	Y	53.2	63.3	58.3	75
1	33	0	0	0	0	2.9	0	2.9	22.9	75	61	3074	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	33.3	0	33.3	20	0	0	1	0	1	38	N	Y	N	N	N	 	 	N	N	N	Y	N	Y	N	 	Y	N	86.7	84.9	85.8	98
1	47	0	0	0	0	2.5	.5	1.5	16.1	70	56.9	3927	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	14.3	0	0	5.6	0	0	0	0	2	42	N	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	91.5	86.5	89	75
9	52	0	0	0	0	0	0	0	14.9	74.3	61.8	5918	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12.5	0	0	4.8	0	0	0	0	2	72	N	Y	N	 	N	 	 	 	 	N	N	 	 	 	 	 	N	92.4	89	90.7	71
9	58	0	18.2	0	0	2.5	0	2.5	51.1	85.2	64.9	7409	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	100	75	80	85.7	0	0	0	0	2	12	N	Y	N	 	 	 	 	 	 	 	 	N	N	Y	 	N	Y	72.9	85.9	79.4	88
1	57	0	0	0	0	3.7	0	3.7	24.5	66.2	60	4409	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	37.5	0	0	15	0	0	0	0	1	90	N	Y	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	93	86.6	89.8	76
1	60	0	0	0	0	3.3	.5	1.9	16.4	65.5	52.2	7589	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	0	20	23.8	0	0	1	0	2	41	N	Y	Y	Y	Y	Y	 	Y	N	N	N	 	 	 	Y	Y	Y	69.9	68.9	69.4	98
