person_id	DV1	DV2	DV3	DV4	IV1	IV2	IV3	IV4	IV5	TEST
0	Y	N	N	N	N	Y	N	N	60	F
1	N	Y	N	Y	Y	N	Y	N	45	T
2	Y	N	Y	Y	Y	N	Y	N	58	F
3	Y	Y	Y	N	N	N	Y	N	67	F
4	Y	Y	Y	N	N	Y	N	N	55	F
5	N	Y	Y	Y	Y	N	N	Y	64	F
6	Y	N	N	N	N	Y	N	N	44	T
7	Y	N	Y	Y	Y	Y	Y	Y	29	F
8	Y	N	N	Y	Y	Y	N	N	30	T
9	Y	N	N	Y	N	N	Y	N	83	F
10	Y	N	N	N	Y	Y	Y	N	63	F
11	Y	N	N	Y	N	Y	N	N	54	F
12	Y	N	N	Y	Y	Y	Y	N	39	F
13	Y	N	N	Y	Y	N	Y	N	37	F
14	Y	N	Y	Y	Y	Y	Y	Y	85	F
15	N	N	N	Y	Y	Y	N	N	38	F
16	Y	N	Y	Y	Y	N	Y	Y	31	F
17	Y	N	Y	N	N	Y	N	N	51	F
18	Y	N	Y	N	N	Y	Y	Y	38	F
19	Y	Y	Y	Y	Y	N	N	Y	26	F
20	Y	Y	Y	N	N	N	Y	N	37	F
21	N	N	N	N	N	N	Y	N	54	F
22	N	Y	N	N	Y	N	N	N	46	T
23	N	Y	Y	Y	Y	Y	Y	N	66	F
24	Y	N	N	N	Y	Y	N	Y	26	F
25	Y	Y	Y	Y	Y	Y	Y	Y	71	F
26	N	N	Y	Y	Y	Y	Y	N	60	T
27	Y	N	Y	Y	Y	N	Y	N	19	F
28	Y	Y	Y	N	N	Y	N	N	62	F
29	Y	N	Y	Y	Y	Y	N	N	63	F
30	Y	Y	N	N	N	Y	Y	N	52	F
31	Y	N	Y	Y	N	Y	Y	N	27	F
32	Y	Y	Y	N	N	Y	Y	Y	73	F
33	Y	Y	N	Y	Y	Y	N	N	54	F
34	N	N	N	Y	Y	N	N	N	73	F
35	Y	N	N	Y	N	N	Y	Y	46	F
36	Y	N	N	Y	N	Y	N	N	23	F
37	N	Y	N	Y	Y	N	N	Y	20	F
38	Y	Y	N	N	Y	N	Y	Y	41	F
39	N	Y	Y	N	N	Y	N	Y	65	T
40	N	Y	Y	N	N	N	Y	N	64	F
41	N	N	N	Y	Y	Y	Y	N	51	F
42	N	N	N	N	N	N	Y	N	48	T
43	N	Y	N	N	N	Y	N	N	53	F
44	N	N	Y	N	Y	N	Y	N	69	F
45	Y	N	N	Y	Y	Y	Y	Y	33	F
46	Y	Y	N	N	N	Y	Y	Y	51	F
47	Y	N	Y	N	Y	Y	Y	N	30	F
48	N	Y	N	Y	Y	N	N	Y	88	F
49	Y	Y	Y	Y	N	N	Y	N	58	F
50	Y	Y	Y	N	N	Y	Y	Y	28	F
51	Y	Y	N	N	N	Y	N	N	52	F
52	N	Y	N	N	Y	Y	N	N	49	F
53	Y	N	N	Y	Y	Y	Y	Y	19	F
54	N	N	N	Y	Y	N	Y	N	66	F
55	N	N	N	Y	Y	N	N	N	58	F
56	N	Y	N	N	N	Y	N	Y	69	F
57	N	N	Y	Y	Y	N	Y	N	58	F
58	N	N	N	N	N	N	Y	N	24	F
59	Y	N	N	Y	Y	N	Y	N	35	F
60	Y	Y	Y	N	N	Y	N	Y	21	F
61	Y	Y	N	Y	Y	Y	Y	N	45	F
62	Y	N	N	Y	Y	Y	N	N	28	T
63	Y	N	Y	Y	N	N	Y	N	54	T
64	Y	Y	Y	N	N	Y	Y	N	84	T
65	Y	Y	Y	Y	Y	Y	Y	Y	89	T
66	Y	Y	Y	N	Y	Y	Y	N	30	F
67	Y	Y	N	Y	Y	N	Y	Y	54	F
68	N	N	Y	Y	N	Y	N	N	42	F
69	Y	Y	N	Y	Y	Y	Y	N	73	T
70	N	Y	N	N	N	Y	N	Y	55	F
71	Y	Y	N	Y	N	Y	N	N	64	F
72	Y	N	Y	Y	Y	Y	N	N	60	F
73	Y	Y	Y	Y	Y	N	Y	N	74	F
74	Y	Y	N	N	N	N	Y	Y	75	F
75	Y	Y	N	Y	Y	Y	Y	Y	48	F
76	Y	Y	N	Y	Y	Y	Y	N	68	F
77	Y	N	N	Y	Y	N	Y	N	25	F
78	Y	N	Y	Y	Y	Y	Y	Y	32	F
79	N	Y	N	Y	Y	Y	N	N	71	F
80	Y	N	N	N	Y	Y	Y	N	27	F
81	Y	N	N	N	N	Y	Y	N	30	F
82	Y	Y	N	N	N	N	Y	N	48	F
83	N	N	Y	N	N	N	Y	N	43	F
84	N	N	N	Y	Y	N	N	N	29	F
85	N	N	N	Y	N	N	N	N	21	T
86	N	N	N	Y	Y	N	Y	N	27	F
87	Y	Y	Y	N	N	N	Y	Y	61	F
88	Y	Y	N	Y	Y	N	Y	N	25	F
89	Y	N	Y	Y	Y	Y	Y	N	51	T
90	N	N	N	Y	Y	N	Y	N	88	F
91	Y	N	N	N	Y	N	Y	N	54	F
92	N	Y	N	N	Y	N	Y	Y	65	F
93	Y	N	Y	N	N	Y	Y	N	27	F
94	N	N	N	Y	Y	N	N	Y	28	F
95	Y	N	N	N	Y	Y	Y	N	67	F
96	N	Y	N	N	Y	Y	Y	Y	26	F
97	N	N	Y	Y	Y	N	Y	N	55	F
98	Y	N	N	N	Y	N	N	N	21	F
99	N	N	Y	Y	N	Y	Y	N	52	F
100	N	N	N	N	N	N	Y	N	41	T
101	Y	N	N	N	Y	Y	Y	N	19	F
102	N	Y	N	Y	Y	N	Y	N	73	T
103	Y	N	Y	N	N	Y	N	Y	31	F
104	Y	N	Y	N	N	Y	Y	N	66	F
105	N	N	Y	Y	Y	N	N	N	30	F
106	N	Y	N	Y	Y	N	N	Y	29	T
107	Y	N	Y	Y	Y	Y	Y	N	29	T
108	Y	N	N	Y	Y	Y	Y	N	68	F
109	Y	N	Y	Y	Y	Y	Y	N	31	F
110	Y	N	N	Y	Y	Y	Y	N	62	F
111	Y	Y	Y	N	N	Y	Y	Y	66	T
112	Y	Y	Y	Y	Y	Y	N	Y	69	T
113	Y	N	N	N	N	N	Y	N	20	F
114	N	N	Y	N	N	N	Y	N	59	F
115	Y	N	Y	Y	Y	N	Y	Y	37	F
116	Y	Y	N	Y	Y	Y	Y	N	54	T
117	Y	Y	N	Y	Y	Y	Y	Y	24	F
118	Y	N	N	N	N	N	Y	N	32	F
119	Y	N	N	N	N	Y	Y	N	46	F
120	Y	N	N	N	N	N	N	N	48	F
121	Y	N	N	Y	Y	N	Y	N	33	F
122	N	N	Y	Y	Y	Y	Y	Y	55	F
123	Y	N	Y	N	N	Y	Y	N	34	F
124	Y	N	Y	Y	Y	Y	Y	N	60	F
125	Y	N	N	N	N	Y	N	N	75	T
126	N	Y	Y	Y	Y	Y	N	Y	44	F
127	N	Y	N	N	N	N	Y	Y	61	F
128	Y	Y	Y	N	Y	Y	Y	N	51	F
129	Y	Y	N	Y	Y	Y	Y	N	64	F
130	Y	N	N	N	Y	Y	Y	N	45	T
131	N	N	N	Y	Y	N	N	N	28	F
132	Y	N	Y	N	N	N	N	N	61	T
133	N	N	N	Y	N	N	Y	N	56	F
134	Y	Y	N	Y	Y	N	Y	N	77	T
135	N	N	N	N	N	N	Y	N	46	F
136	N	N	Y	Y	Y	Y	Y	N	77	F
137	Y	Y	N	N	N	N	Y	N	47	F
138	Y	Y	N	N	N	Y	Y	Y	68	F
139	Y	Y	Y	Y	Y	Y	N	Y	75	F
140	Y	N	Y	N	N	Y	N	N	30	F
141	N	Y	N	Y	N	Y	Y	Y	45	F
142	Y	Y	N	Y	Y	Y	Y	Y	61	F
143	N	Y	N	Y	Y	N	Y	N	31	F
144	Y	Y	N	Y	Y	N	N	N	89	F
145	N	N	Y	N	N	N	Y	N	71	F
146	N	Y	N	Y	Y	N	N	Y	61	F
147	N	Y	Y	N	Y	N	Y	N	72	F
148	N	N	N	Y	Y	N	Y	N	88	T
149	N	N	N	N	Y	Y	N	N	20	F
150	Y	Y	N	N	N	N	Y	N	48	F
151	N	Y	N	N	Y	Y	N	N	74	T
152	N	Y	Y	Y	Y	Y	N	Y	38	F
153	Y	N	N	N	N	Y	Y	N	70	F
154	Y	N	Y	N	N	Y	Y	N	29	F
155	Y	Y	Y	N	N	N	Y	Y	24	T
156	N	Y	N	N	N	Y	N	N	42	T
157	N	N	N	Y	Y	N	Y	N	22	F
158	Y	Y	N	Y	N	Y	Y	N	44	F
159	N	Y	Y	Y	Y	N	N	N	45	F
160	N	N	N	Y	Y	Y	N	Y	34	T
161	N	N	Y	Y	Y	N	Y	N	33	F
162	N	N	Y	N	Y	N	Y	N	22	T
163	N	N	N	N	N	N	Y	N	76	F
164	N	Y	N	N	N	N	Y	N	27	F
165	Y	Y	N	N	N	Y	Y	Y	79	F
166	Y	Y	N	N	N	Y	Y	Y	69	T
167	N	Y	N	N	N	N	N	Y	35	F
168	Y	Y	N	Y	Y	Y	N	Y	61	F
169	N	Y	N	Y	N	N	N	Y	44	F
170	Y	N	Y	N	N	N	Y	Y	26	T
171	Y	Y	Y	N	N	Y	Y	Y	54	F
172	Y	N	Y	Y	Y	Y	Y	N	85	F
173	Y	N	N	N	N	N	N	N	73	F
174	N	Y	N	N	Y	N	Y	Y	85	F
175	N	Y	Y	Y	Y	N	N	Y	49	F
176	N	Y	N	Y	N	N	N	N	46	F
177	Y	N	N	Y	Y	Y	Y	N	30	F
178	Y	Y	N	N	N	Y	Y	Y	64	T
