"Newspaper","Cost"
"AKRON BEACON JOURNAL PRINT MEDIA","2,806.65"
"AKRON BEACON JOURNAL PRINT MEDIA","2,806.65"
"AKRON BEACON JOURNAL PRINT MEDIA","2,806.65"
"AKRON BEACON JOURNAL PRINT MEDIA","2,806.65"
"ALBANY TIMES UNION PRINT MEDIA","1,647.53"
"ALBANY TIMES UNION PRINT MEDIA","1,647.53"
"ALBANY TIMES UNION PRINT MEDIA","1,647.53"
"ALBANY TIMES UNION PRINT MEDIA","1,647.53"
"ALTOONA MIRROR PRINT MEDIA","380.60"
"ALTOONA MIRROR PRINT MEDIA","380.60"
"ANDERSON INDEPENDENT-MAIL PRINT MED","1,251.53"
"ANDERSON INDEPENDENT-MAIL PRINT MED","1,251.53"
"ANNAPOLIS CAPITAL PRINT MEDIA","2,263.59"
"ANNAPOLIS CAPITAL PRINT MEDIA","2,263.59"
"APPLE VALLEY/ROSEMOUNT/EAGAN SUN CU","2,470.70"
"APPLE VALLEY/ROSEMOUNT/EAGAN SUN CU","2,470.70"
"ARLINGTON HEIGHTS DAILY HERALD PRIN","2,345.53"
"ARLINGTON HEIGHTS DAILY HERALD PRIN","2,345.53"
"ARLINGTON HEIGHTS DAILY HERALD PRIN","2,345.53"
"ARLINGTON HEIGHTS DAILY HERALD PRIN","2,345.53"
"ASBURY PARK PRESS PRINT MEDIA","2,643.20"
"ASBURY PARK PRESS PRINT MEDIA","2,643.20"
"ASBURY PARK PRESS PRINT MEDIA","2,643.20"
"ASBURY PARK PRESS PRINT MEDIA","2,643.20"
"ASHEVILLE CITIZEN-TIMES PRINT MEDIA","1,689.09"
"ASHEVILLE CITIZEN-TIMES PRINT MEDIA","1,689.09"
"AUGUSTA CHRONICLE PRINT MEDIA","2,283.46"
"AUGUSTA CHRONICLE PRINT MEDIA","2,283.46"
"AUGUSTA CHRONICLE PRINT MEDIA","2,283.46"
"AUGUSTA CHRONICLE PRINT MEDIA","2,283.46"
"BAD AXE HURON DAILY TRIBUNE PRINT M","264.19"
"BAD AXE HURON DAILY TRIBUNE PRINT M","264.19"
"BANGOR NEWS PRINT MEDIA","2,676.84"
"BANGOR NEWS PRINT MEDIA","2,676.84"
"BAY CITY TIMES PRINT MEDIA","974.87"
"BAY CITY TIMES PRINT MEDIA","974.87"
"BAYSHORE/MIDDLETOWN INDEPENDENT PRI","1,701.07"
"BAYSHORE/MIDDLETOWN INDEPENDENT PRI","1,701.07"
"BEAVER COUNTY TIMES PRINT MEDIA","1,520.99"
"BEAVER COUNTY TIMES PRINT MEDIA","1,520.99"
"BECKLEY REGISTER/HERALD PRINT MEDIA","896.82"
"BECKLEY REGISTER/HERALD PRINT MEDIA","896.82"
"BELLEFONTAINE EXAMINER PRINT MEDIA","543.42"
"BELLEFONTAINE EXAMINER PRINT MEDIA","543.42"
"BELLEVILLE NEWS-DEMOCRAT PRINT MEDI","1,249.50"
"BELLEVILLE NEWS-DEMOCRAT PRINT MEDI","1,249.50"
"BERGEN COUNTY RECORD PRINT MEDIA","2,320.41"
"BERGEN COUNTY RECORD PRINT MEDIA","2,320.41"
"BERGEN COUNTY RECORD PRINT MEDIA","2,320.41"
"BERGEN COUNTY RECORD PRINT MEDIA","2,320.41"
"BILLINGS GAZETTE PRINT MEDIA","6,366.24"
"BILLINGS GAZETTE PRINT MEDIA","6,366.24"
"BINGHAMTON PRESS & SUN-BULLETIN PRI","2,312.72"
"BINGHAMTON PRESS & SUN-BULLETIN PRI","2,312.72"
"BLOOMINGTON HERALD-TIMES PRINT MEDI","2,102.36"
"BLOOMINGTON HERALD-TIMES PRINT MEDI","2,102.36"
"BLOOMINGTON PANTAGRAPH PRINT MEDIA","2,762.36"
"BLOOMINGTON PANTAGRAPH PRINT MEDIA","2,762.36"
"BLOOMINGTON SUN CURRENT PRINT MEDIA","1,958.10"
"BLOOMINGTON SUN CURRENT PRINT MEDIA","1,958.10"
"BOISE IDAHO STATESMAN PRINT MEDIA","575.88"
"BOISE IDAHO STATESMAN PRINT MEDIA","575.88"
"BONHAM FANNIN COUNTY SPECIAL PRINT ","843.75"
"BONHAM FANNIN COUNTY SPECIAL PRINT ","843.75"
"BRAINERD DISPATCH PRINT MEDIA","1,119.89"
"BRAINERD DISPATCH PRINT MEDIA","1,119.89"
"BURNSVILLE/SAVAGE/LAKEVILLE BURNSVI","1,996.85"
"BURNSVILLE/SAVAGE/LAKEVILLE BURNSVI","1,996.85"
"CADILLAC NEWS PRINT MEDIA","476.79"
"CADILLAC NEWS PRINT MEDIA","476.79"
"CAMDEN COURIER-POST PRINT MEDIA","1,034.99"
"CAMDEN COURIER-POST PRINT MEDIA","1,034.99"
"CANTON REPOSITORY PRINT MEDIA","769.00"
"CANTON REPOSITORY PRINT MEDIA","769.00"
"CEDAR RAPIDS GAZETTE PRINT MEDIA","338.29"
"CEDAR RAPIDS GAZETTE PRINT MEDIA","338.29"
"CHARLESTON POST & COURIER PRINT MED","2,330.99"
"CHARLESTON POST & COURIER PRINT MED","2,330.99"
"CHARLESTON POST & COURIER PRINT MED","2,330.99"
"CHARLESTON POST & COURIER PRINT MED","2,330.99"
"CHESTER DELAWARE COUNTY DAILY TIMES","1,990.88"
"CHESTER DELAWARE COUNTY DAILY TIMES","1,990.88"
"CHICAGO SOUTHTOWN STAR PRINT MEDIA","2,052.81"
"CHICAGO SOUTHTOWN STAR PRINT MEDIA","2,052.81"
"CHICO ENTERPRISE RECORD PRINT MEDIA","1,043.28"
"CHICO ENTERPRISE RECORD PRINT MEDIA","1,043.28"
"CINCINNATI ENQUIRER PRINT MEDIA","3,360.00"
"CINCINNATI ENQUIRER PRINT MEDIA","3,360.00"
"CINCINNATI ENQUIRER PRINT MEDIA","3,360.00"
"CINCINNATI ENQUIRER PRINT MEDIA","3,360.00"
"CLINTON HERALD PRINT MEDIA","529.48"
"CLINTON HERALD PRINT MEDIA","529.48"
"COLUMBIA STATE PRINT MEDIA","3,188.18"
"COLUMBIA STATE PRINT MEDIA","3,188.18"
"COLUMBIA STATE PRINT MEDIA","3,188.11"
"COLUMBIA STATE PRINT MEDIA","3,188.11"
"CONCORD MONITOR PRINT MEDIA","740.63"
"CONCORD MONITOR PRINT MEDIA","740.63"
"COVINGTON VIRGINIAN REVIEW PRINT ME","467.28"
"COVINGTON VIRGINIAN REVIEW PRINT ME","467.28"
"CRYSTAL LAKE NORTHWEST HERALD PRINT","1,294.83"
"CRYSTAL LAKE NORTHWEST HERALD PRINT","1,294.83"
"CRYSTAL RIVER CITRUS COUNTY CHRONIC","1,652.37"
"CRYSTAL RIVER CITRUS COUNTY CHRONIC","1,652.37"
"DENTON RECORD-CHRONICLE PRINT MEDIA","1,216.25"
"DENTON RECORD-CHRONICLE PRINT MEDIA","1,216.25"
"DESOTO FOCUS DAILY NEWS PRINT MEDIA","751.58"
"DUBUQUE TELEGRAPH-HERALD PRINT MEDI","1,254.62"
"DUBUQUE TELEGRAPH-HERALD PRINT MEDI","1,254.62"
"ELKHART TRUTH PRINT MEDIA","1,181.62"
"ELKHART TRUTH PRINT MEDIA","1,181.62"
"ERIE TIMES-NEWS PRINT MEDIA","4,421.35"
"ERIE TIMES-NEWS PRINT MEDIA","4,421.35"
"EUGENE REGISTER-GUARD PRINT MEDIA","1,738.56"
"EUGENE REGISTER-GUARD PRINT MEDIA","1,738.56"
"EUGENE REGISTER-GUARD PRINT MEDIA","1,738.50"
"EUGENE REGISTER-GUARD PRINT MEDIA","1,738.50"
"EVANSVILLE COURIER & PRESS PRINT ME","2,268.50"
"EVANSVILLE COURIER & PRESS PRINT ME","2,268.50"
"FARMINGDALE NEIGHBORS (SUFFOLK EDIT","756.13"
"FARMINGDALE NEIGHBORS (SUFFOLK EDIT","756.13"
"FLINT JOURNAL PRINT MEDIA","1,158.90"
"FLINT JOURNAL PRINT MEDIA","1,158.90"
"FLINT JOURNAL PRINT MEDIA","1,158.90"
"FLINT JOURNAL PRINT MEDIA","1,158.90"
"FRANKFORT TIMES PRINT MEDIA","251.25"
"FRANKFORT TIMES PRINT MEDIA","251.25"
"FRANKLIN DAILY JOURNAL PRINT MEDIA","706.39"
"FRANKLIN DAILY JOURNAL PRINT MEDIA","706.39"
"FRANKLIN PRESS PRINT MEDIA","711.03"
"FRANKLIN PRESS PRINT MEDIA","711.03"
"FT. WAYNE JOURNAL-GAZETTE/NEWS PRIN","3,182.18"
"FT. WAYNE JOURNAL-GAZETTE/NEWS PRIN","3,182.18"
"GRAND JUNCTION DAILY SENTINEL PRINT","300.69"
"GRAND JUNCTION DAILY SENTINEL PRINT","300.69"
"GRASS VALLEY UNION PRINT MEDIA","614.32"
"GRASS VALLEY UNION PRINT MEDIA","614.32"
"GREEN BAY PRESS-GAZETTE PRINT MEDIA","1,617.74"
"GREEN BAY PRESS-GAZETTE PRINT MEDIA","1,617.74"
"GREENSBORO NEWS & RECORD PRINT MEDI","3,150.92"
