"CustomerID","Keycode","ResponseDate","PreviousOrders","MarketingChannel","Type","Zip","Age","Segment","TotalSpending","TotalPurchases"
4508180,"AA1","01/20/2010",13,"F","R",34698,97,"A",NA,NA
4748935,"AA1","01/12/2010",16,"F","R",33852,92,"A",NA,NA
4840377,"AK1","01/21/2010",18,"F","R",7481,84,"A",40,4
4885562,"AP7","01/22/2010",18,"F","R",16511,93,"A",NA,NA
7038128,"AA5","01/16/2010",11,"D","R",38016,92,"A",NA,NA
8696866,"AF3","01/23/2010",8,"F","R",97013,94,"A",NA,NA
9554684,"BA1","01/23/2010",10,"F","R",99350,91,"A",25,2
9669235,"AA6","01/14/2010",14,"F","R",93013,104,"A",NA,NA
10198570,"AF4","01/04/2010",12,"F","R",18603,80,"A",NA,NA
10311140,"AF5","01/11/2010",15,"F","R",30512,79,"A",NA,NA
12472098,"AA2","01/11/2010",14,"F","R",85375,88,"A",NA,NA
12561767,"AH9","01/14/2010",9,"F","R",30907,83,"A",65,6
13607569,"AA5","01/21/2010",12,"F","R",7006,85,"A",NA,NA
15200058,"AA6","01/20/2010",16,"F","R",33773,85,"A",NA,NA
15365026,"BF3","01/22/2010",13,"F","R",34996,85,"A",10,1
15804065,"AK2","01/12/2010",10,"F","R",13790,100,"A",NA,NA
16572885,"AC5","01/26/2010",14,"F","R",10549,80,"A",NA,NA
16985020,"AA5","01/19/2010",12,"F","R",21234,95,"A",30,2
17311671,"AD7","01/11/2010",7,"E","R",4011,100,"A",1,1
17568288,"BF6","01/20/2010",10,"F","R",98408,93,"A",80,9
18449983,"AA9","01/21/2010",10,"F","R",10707,93,"A",NA,NA
18531756,"AA1","01/13/2010",15,"F","R",92543,92,"A",NA,NA
19004241,"AF8","01/11/2010",12,"F","R",97526,95,"A",NA,NA
21356241,"AT7","01/19/2010",12,"F","R",2650,105,"A",NA,NA
21440797,"AG3","01/23/2010",12,"F","R",44240,90,"A",NA,NA
22325906,"AF4","01/06/2010",11,"F","R",24301,90,"A",NA,NA
